"participant","between","within","correct_absolute_error_other","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","within_route_r2","Condition","First_Building_in_model.building","Pilot","sex"
2035,33.2649374026846,30.6274851628558,115.89623625,32.1346007284722,0.546123907372387,-54.0857950870163,0.468039120528843,-19.7055627137276,0.644473913656975,-53.9458521226218,0.556256517092909,"Mountains","Golledge Hall","No","man"
2036,33.5123589051489,29.6142607328164,46.9399775,31.8417454027207,0.228828910470366,111.737889724209,0.930256493447877,109.911346797435,0.421700161671899,138.547008996902,0.675978327559888,"Compass","Batty House","No","woman"
2037,28.5391474419695,18.0922800923143,38.99287,24.0619185778316,0.855939655236381,-24.4454810780955,0.93613706748933,-27.9934223031759,0.812545983036249,-18.747385310547,0.87434152526279,"Mountains","Sauer Center","No","woman"
2038,17.1679791040827,13.4896402348807,24.20581375,15.591548160139,0.943141506074294,150.411123335,0.912585041660825,141.789137900635,0.910132600738528,153.398759822977,0.911358821199676,"Mountains","Lynch Station","No","man"
2039,54.6420633203196,53.7600269456054,114.766659625,54.2640477311564,0.622626373758236,-20.6017781767581,0.911209135630125,-31.4393802195506,0.318310225466404,-68.2724517513512,0.614759680548264,"Mountains","Batty House","No","woman"
2040,59.4899856983378,29.5122632566455,58.90677,46.642390366184,0.862638335097275,-12.8242152511183,0.796598515791448,-51.3447223935261,0.926346395174755,-3.22659070378987,0.861472455483101,"Mountains","Batty House","No","man"
2041,15.5534988829135,7.77825420841104,15.6324825,12.2212511652696,0.83785864204274,128.709920878004,0.883606011672943,144.893677124242,0.844003368806872,93.5245332163037,0.863804690239907,"Compass","Batty House","No","woman"
2042,74.3064587676745,9.03409176185844,60.3392175,46.3325871937533,0.883307145614323,6.37928623647358,0.916738765875065,4.22037309968703,0.375440463041604,28.5437845868405,0.646089614458334,"Mountains","Batty House","No","woman"
2043,32.2137483092203,14.9250381472174,48.60656375,24.8043010969333,0.88792657384,-31.2750927633061,0.820777710654105,-26.3619545708991,0.864178978289949,-21.4126403348569,0.842478344472027,"Compass","Snow Church","No","man"
2045,65.7499267753674,52.1759184006427,90.96925,59.9324946147711,0.447185127303149,-32.3380205752343,0.930081168934799,-56.9196074308583,0.225053782625149,-49.0585659230952,0.577567475779974,"Compass","Sauer Center","No","woman"
2047,55.2284579945489,44.9007399135766,95.110274425,50.8022931027037,0.435074164864855,-47.2888305247775,0.468059099838436,-58.2985111778725,0.226862222331622,206.760129216906,0.347460661085029,"Compass","Sauer Center","No","woman"
2048,33.2132938600186,8.33394226968279,35.17316125,22.5507146070175,0.913909294961195,-20.8341153216262,0.956809034633792,-20.2310765282171,0.836932351416896,13.5007494053105,0.896870693025344,"Mountains","Batty House","No","man"
2049,22.0087417767373,8.97272594152379,34.987725,16.4218778473601,0.83418147268781,15.4164224056616,0.643414051353689,36.5693439390993,0.908669498317288,-25.1050125216381,0.776041774835489,"Mountains","","No","woman"
2052,31.3301883110524,12.6287330076341,126.13024,23.3152788953017,0.897131874198195,188.21469789453,0.779187550948569,192.375263806102,0.952421044600048,209.788702634506,0.865804297774308,"Mountains","","No","woman"
2053,73.013151780684,66.3734406325249,108.3229535,70.1675612886158,0.018167183922457,-87.9235889926219,0.0259214859082757,52.5059267201178,0.927980500644454,169.788401475646,0.476950993276365,"Compass","Golledge Hall","No","woman"
2054,66.1969471320924,46.5600933306884,100.15507625,57.7811526457764,0.503431356462271,203.479581407116,0.123409231214476,32.8241842610434,0.831548745189149,219.522576171885,0.477478988201813,"Mountains","Golledge Hall","No","woman"
2056,67.8935254728416,26.645696296411,67.3014675,50.2158843972285,0.466761745049757,-81.9885042196029,0.669540518297126,-24.1660451053968,0.722712031757123,-77.992209697667,0.696126275027124,"Mountains","Golledge Hall","No","woman"
2057,51.1234410574538,10.3652923162185,38.9088425,33.6556630254958,0.28173277511403,188.435347337904,0.813497791104646,79.9810950598892,0.120501816964947,257.727706374017,0.466999804034797,"Compass","Batty House","No","man"
2058,16.655448278996,12.2349079732331,87.19764875,14.7609310050976,0.929090936000471,217.213027951975,0.853227219116918,238.26785623774,0.928575080466532,197.440128910855,0.890901149791725,"Mountains","Batty House","No","woman"
2059,54.7593689343403,29.2061003909637,67.834645,43.807968130036,0.651233070712912,40.2571003078329,0.523006817504442,87.5665647267921,0.941016602367405,7.27720639003305,0.732011709935924,"Compass","Batty House","No","woman"
2060,14.2322007953495,8.43345527448289,12.28007325,11.7470241435495,0.918762919906231,-34.3143982632925,0.978891234337702,-35.657036572096,0.890686194074248,-59.6774245262598,0.934788714205975,"Mountains","Batty House","No","woman"
2061,47.6849992765677,28.4561315714877,40.15663625,39.4440559743905,0.626725590458261,136.091011273736,0.678850068646952,108.403679217997,0.430316174594175,148.417463000671,0.554583121620563,"Compass","Batty House","No","woman"
2062,50.2841846018843,48.0814078154242,103.71869875,49.3401374076871,0.684930926000575,197.104739800078,0.444410212572623,225.66827948389,0.537070061632971,197.983732143423,0.490740137102797,"Mountains","Golledge Hall","No","man"
2063,47.0575147859571,13.0358111294175,80.544031625,32.4767846474401,0.654470716230092,195.275011689754,0.727859809906927,225.386463935082,0.390296271368831,187.960553566188,0.559078040637879,"Compass","Batty House","No","woman"
2064,53.9624819147748,29.1447990225914,113.77762625,43.326332103839,0.5609647529536,-10.8388012636287,0.693266993728919,-74.0032534727739,0.433630324374074,-15.0646606432541,0.563448659051496,"Mountains","Batty House","No","man"
2065,69.4028907906557,52.4719577572331,49.84285625,62.1467766334746,0.561011930367175,-85.9028682934771,0.745798429411266,-83.1897224160947,0.169361297593969,252.253494094276,0.457579863502617,"Compass","Batty House","No","man"
2066,49.3402917965453,10.44208723802,62.4830325,32.6696327000345,0.568675814147632,15.1088592715239,0.0289282722923041,15.9371346682624,0.444694835752553,40.8900410001166,0.236811554022429,"Mountains","Golledge Hall","No","man"
2067,24.8917464309999,6.57759006704941,23.96836375,17.0428222750211,0.921906075362568,-1.32033804911513,0.899755024533031,-24.4072672415836,0.967626545410853,14.8106087021255,0.933690784971942,"Compass","Sauer Center","No","man"
2068,15.4650424433307,4.51870901535442,22.15737875,10.7737566884837,0.973022374362557,-28.6663700290232,0.96938160119015,-36.8125579780053,0.94088624832527,-24.4157574671172,0.95513392475771,"Mountains","Batty House","No","man"
2069,41.1072063403577,7.52074314080688,19.308365,26.7130078262645,0.588980063491784,246.877920128709,0.39339031423986,262.766934157543,0.956077159142299,-22.6412722610284,0.674733736691079,"Compass","Tobler Museum","No","man"
2070,53.9737812314855,38.9162984156339,97.651271875,47.5205743104062,0.396554207198939,70.5513430959998,0.941510240664094,60.4332717195029,0.746061752909039,181.071709271304,0.843785996786566,"Mountains","Lynch Station","No","man"
2072,26.4150812528288,7.2313909184626,106.872597125,18.1934996809576,0.958916884479065,-28.4344329435161,0.977396645046482,-35.569512070985,0.876813681321282,-8.03349795075884,0.927105163183882,"Mountains","Batty House","No","man"
2073,74.2102042815399,50.6445454716192,122.832188,64.1106362201453,0.0455624850937957,132.447205622678,0.769746349127451,-11.5155958364405,0.91336442786804,243.414572987392,0.841555388497745,"Compass","Batty House","No","man"
2074,30.1736859763124,7.1945315254241,39.454103,20.3254769259317,0.798108361949325,137.737759133333,0.88896620133067,145.511495560179,0.77634683687689,176.65667898137,0.83265651910378,"Mountains","Golledge Hall","No","man"
2075,34.2302229561382,9.42261154777077,29.39364125,23.5983894954093,0.913735648931147,-33.7736398868234,0.977391073368573,-37.9975031974888,0.827423458292259,-5.69812732760067,0.902407265830416,"Compass","Batty House","No","man"
2076,44.6337074638627,32.0601956540975,67.66027875,39.2450595453919,0.277767265005112,-16.6962675002548,0.359273479735366,-3.60352029789697,0.541888146123564,224.52968235015,0.450580812929465,"Mountains","Batty House","No","man"
2077,29.7003876555823,5.99515599735361,24.26470375,19.5410026591986,0.912716202857647,149.412497591556,0.852494058107281,142.134359948641,0.693041005238118,174.7860827174,0.772767531672699,"Compass","Lynch Station","No","man"
2078,31.6408156450494,9.79837418212715,36.167735,22.279769303797,0.748188490970424,47.6262977748032,0.961463926959994,59.7560608651409,0.973308023446958,115.965439809229,0.967385975203476,"Mountains","Golledge Hall","No","man"
2079,32.8898285773961,6.47050263750905,20.9383675,21.5672603174445,0.893429847678339,142.45110237129,0.887554637781445,143.576591197456,0.789179916128324,177.172273241246,0.838367276954885,"Compass","Golledge Hall","No","man"
2080,42.0481861118287,6.67404575753546,21.1121875,26.887840245703,0.780758374843894,-17.4172220749716,0.97000325435727,-36.5272802695728,0.967834475829969,22.9540526501695,0.968918865093619,"Compass","Batty House","No","man"
2083,17.6127537199927,4.12472841637066,52.23365125,11.8321714470118,0.905045804501864,54.8606705445669,0.776893620902413,52.1222302897545,0.855466230547096,84.7996387357758,0.816179925724755,"Mountains","Batty House","No","man"
2014,15.1052203656095,5.95524114747104,25.02702375,11.183800700693,NA,NA,NA,NA,NA,NA,NA,"Mountains","Batty House","No","woman"
2015,45.0779591432154,38.7603906187939,87.90974925,42.3704297756062,NA,NA,NA,NA,NA,NA,NA,"Compass","Golledge Hall","No","woman"
2027,78.985617688471,81.3653644998825,50.17560625,80.0055091790759,NA,NA,NA,NA,NA,NA,NA,"Compass","Batty House","No","woman"
2044,51.6425342339605,39.6289801233302,95.3355445,46.4938681865475,NA,NA,NA,NA,NA,NA,NA,"Mountains","Batty House","No","man"
2046,43.8956595317026,37.6601619066537,26.09986125,41.2233034066817,NA,NA,NA,NA,NA,NA,NA,"Compass","Sauer Center","No","man"
2084,15.452755802652,4.46301951107422,19.32344625,10.7428688205472,NA,NA,NA,NA,NA,NA,NA,"Mountains","Sauer Center","No","man"
